question_id,question,context,answer,answer_start,answer_end,title
0,생산물시장이 뭐야?,"경제활동은 우리 생활에 필요한 재화와 서비스를 생산 · 분배 · 소비하는 활동을 말한다. 가계 · 기업 · 정부 그리고 외국과 같은 경제활동의 주체들은 시장에서 때로는 공급자로서 때로는 수요자로서 역할을 한다. 기업은 생산물시장에서는 공급자가 되지만 요소시장에서는 수요자가 된다. 반대로 가계는 생산물시장에서는 수요자가 되지만 요소시장에서는 공급자가 된다. 생산물시장은 자동차 · 피자 · 짜장면 · 등산복 · 영화와 같이 생활에 필요한 재화와 서비스가 거래되는 시장이고, 요소시장은 노동력 · 자본 · 원재료와 같이 생산에 필요한 요소를 거래하는 시장이다. 생산물시장이든 요소시장이든 재화나 서비스를 거래하는 과정에서 돈을 지불하거나 수취하게 된다. 정부도 시장 경제의 순환과정에서 다양한 모습으로 참여하고 있는데 생산물시장이나 요소시장에 수요자로 참여하기도 하고 공급자로 참여하기도 한다.",생활에 필요한 재화와 서비스가 거래되는 시장,237.0,261.0,0
1,생산물시장에서 공급자는 누구야?,"경제활동은 우리 생활에 필요한 재화와 서비스를 생산 · 분배 · 소비하는 활동을 말한다. 가계 · 기업 · 정부 그리고 외국과 같은 경제활동의 주체들은 시장에서 때로는 공급자로서 때로는 수요자로서 역할을 한다. 기업은 생산물시장에서는 공급자가 되지만 요소시장에서는 수요자가 된다. 반대로 가계는 생산물시장에서는 수요자가 되지만 요소시장에서는 공급자가 된다. 생산물시장은 자동차 · 피자 · 짜장면 · 등산복 · 영화와 같이 생활에 필요한 재화와 서비스가 거래되는 시장이고, 요소시장은 노동력 · 자본 · 원재료와 같이 생산에 필요한 요소를 거래하는 시장이다. 생산물시장이든 요소시장이든 재화나 서비스를 거래하는 과정에서 돈을 지불하거나 수취하게 된다. 정부도 시장 경제의 순환과정에서 다양한 모습으로 참여하고 있는데 생산물시장이나 요소시장에 수요자로 참여하기도 하고 공급자로 참여하기도 한다.",기업은 생산물시장에서는 공급자,118.0,134.0,1
2,정부가 시장 경제를 위해 뭘 해?,"정부는 국방, 치안, 사법제도를 유지하고 국·공립학교의 운영과 같은 수많은 공공서비스를 제공하기 위해서 노동력과 상품을 구입하고 있다. 아울러 철도, 도로, 항만과 같은 인프라(infrastructure)를 건설하는 데도 많은 예산을 지출하고 있다. 실제로 우리나라에서 가장 많은 사람을 고용하는 주체는 정부이다. 정부는 100만 명이 넘는 공무원과 교사 그리고 60만 국군을 유지하는 데 엄청난 돈을 필요로 한다. 정부는 이런 지출에 충당하기 위해서 다양한 종류의 세금을 거두고 조세수입만으로 재정이 부족할 때는 채권을 발행하여 돈을 빌린다. 정부가 발행한 채권을 가계나 기업이 구입할 때는 정부가 국민들로부터 돈을 빌리는 것이 되지만 정부의 채권을 외국에 매각하게 되면 외국으로부터 돈을 빌리는 셈이 된다. 우리나라와 같은 개방경제에서는 생산물시장이나 요소시장에서 외국인이나 외국의 역할도 매우 크다. ","정부는 국방, 치안, 사법제도를 유지하고 국·공립학교의 운영과 같은 수많은 공공서비스를 제공",0.0,51.0,2
3,직접투자가 뭐야?,"우리 기업이 생산한 생산물을 외국으로 수출하기도 하고 석유, 식량, 원자재 같은 것들은 외국에서 수입하기도 한다. 특히 스마트폰, 자동차, 텔레비전 그리고 선박과 같은 상품들은 우리 기업이 생산하였지만 우리 국민이 소비하는 것보다 외국에 수출하는 양이 더 많다. 외국인 노동자나 외국 자본들이 유입되기도 한다. 외국 자본이 우리나라에 들어올 때는 금융시장에서 주식이나 채권을 매입할 수도 있지만 회사를 설립하거나 인수하여 직접 운영하는 직접 투자도 있다. 직접 투자는 자본이 들어오는 것뿐만 아니라 기술도 같이 들어오는 장점이 있다.",회사를 설립하거나 인수하여 직접 운영,221.0,241.0,3
4,직접투자의 장점이 뭐가 있을까?,"우리 기업이 생산한 생산물을 외국으로 수출하기도 하고 석유, 식량, 원자재 같은 것들은 외국에서 수입하기도 한다. 특히 스마트폰, 자동차, 텔레비전 그리고 선박과 같은 상품들은 우리 기업이 생산하였지만 우리 국민이 소비하는 것보다 외국에 수출하는 양이 더 많다. 외국인 노동자나 외국 자본들이 유입되기도 한다. 외국 자본이 우리나라에 들어올 때는 금융시장에서 주식이나 채권을 매입할 수도 있지만 회사를 설립하거나 인수하여 직접 운영하는 직접 투자도 있다. 직접 투자는 자본이 들어오는 것뿐만 아니라 기술도 같이 들어오는 장점이 있다.",직접 투자는 자본이 들어오는 것뿐만 아니라 기술도 같이 들어오는 장점이 있다,255.0,297.0,4
5,정부가 조세수입만으로 재정이 부족하면 어떡해?,"정부는 국방, 치안, 사법제도를 유지하고 국·공립학교의 운영과 같은 수많은 공공서비스를 제공하기 위해서 노동력과 상품을 구입하고 있다. 아울러 철도, 도로, 항만과 같은 인프라(infrastructure)를 건설하는 데도 많은 예산을 지출하고 있다. 실제로 우리나라에서 가장 많은 사람을 고용하는 주체는 정부이다. 정부는 100만 명이 넘는 공무원과 교사 그리고 60만 국군을 유지하는 데 엄청난 돈을 필요로 한다. 정부는 이런 지출에 충당하기 위해서 다양한 종류의 세금을 거두고 조세수입만으로 재정이 부족할 때는 채권을 발행하여 돈을 빌린다. 정부가 발행한 채권을 가계나 기업이 구입할 때는 정부가 국민들로부터 돈을 빌리는 것이 되지만 정부의 채권을 외국에 매각하게 되면 외국으로부터 돈을 빌리는 셈이 된다. 우리나라와 같은 개방경제에서는 생산물시장이나 요소시장에서 외국인이나 외국의 역할도 매우 크다. ",채권을 발행,288.0,294.0,5
6,우리나라 경제의 특징이 뭐야?,"정부는 국방, 치안, 사법제도를 유지하고 국·공립학교의 운영과 같은 수많은 공공서비스를 제공하기 위해서 노동력과 상품을 구입하고 있다. 아울러 철도, 도로, 항만과 같은 인프라(infrastructure)를 건설하는 데도 많은 예산을 지출하고 있다. 실제로 우리나라에서 가장 많은 사람을 고용하는 주체는 정부이다. 정부는 100만 명이 넘는 공무원과 교사 그리고 60만 국군을 유지하는 데 엄청난 돈을 필요로 한다. 정부는 이런 지출에 충당하기 위해서 다양한 종류의 세금을 거두고 조세수입만으로 재정이 부족할 때는 채권을 발행하여 돈을 빌린다. 정부가 발행한 채권을 가계나 기업이 구입할 때는 정부가 국민들로부터 돈을 빌리는 것이 되지만 정부의 채권을 외국에 매각하게 되면 외국으로부터 돈을 빌리는 셈이 된다. 우리나라와 같은 개방경제에서는 생산물시장이나 요소시장에서 외국인이나 외국의 역할도 매우 크다. ",우리나라와 같은 개방경제에서는 생산물시장이나 요소시장에서 외국인이나 외국의 역할도 매우 크다,398.0,449.0,6
7,기업은 어떻게 수입을 올릴 수 있을까요?,"기업들은 생산요소를 구입하여 생산 활동을 함으로써 매출과 이익을 올리고 있다. 성공적인 경제활동을 했다면 비용보다 수입이 크게 될 것이다. 기업의 소득은 주주들에게 배당하기도 하고 새로운 사업을 위하여 직접 보유하기도 한다. 그럼에도 기업은 현재의 생산을 유지하거나 새로운 사업을 위해서 항상 자금이 필요하다. 기업은 생산물 판매가 활발하게 일어나면 시설을 확장하기 위해서 돈이 필요하고, 반대로 판매 수입이 줄어들면 부족한 돈을 빌리게 되므로 통상적으로 자금의 수요자가 된다. 가계·기업·정부 모두 수입보다 지출이 많으면 적자가 되고 반대로 수입보다 지출이 적으면 흑자가 된다. 흑자 주체는 자신들의 돈을 효과적으로 활용하기 위하여 다양한 방법으로 돈을투자하게 되고 반대로 적자 주체는 필요한 돈을 마련하기 위해서 돈을 빌리게 된다. 이와 같이 흑자 주체에서 적자 주체로 돈이 이동하는 것을 금융이라 한다. 즉 여유자금이 있는 흑자 주체(저축자: 공급자)가 돈을 빌려주거나 적자 주체(차입자: 수요자)가 돈을 빌리는 것을 금융이라 하고 금융거래가 일어나는 곳을 금융시장이라고 한다. 생산·소비·유통·분배와 같은 경제활동이 원활하게 일어나기 위해서는 각 경제주체 간에 일어나는 거래를 뒷받침할 수 있는 돈의 양이 충분해야 하고 돈의 흐름을 원활하게 해주는 금융시장이 잘 발달되어 있어야 한다. 선진국들은 생산물의 크기도 크지만 경제활동을 뒷받침하는 금융시장도 잘 발달되어 있는 데 비해서 개발도상국들은 상대적으로 생산성도 낮고 금융시장도 낙후되어 있다.",기업들은 생산요소를 구입하여 생산 활동을 함으로써 매출과 이익을 올리고 있다.,0.0,43.0,7
8,기업의 소득은 어떻게 활용되나요?,"기업들은 생산요소를 구입하여 생산 활동을 함으로써 매출과 이익을 올리고 있다. 성공적인 경제활동을 했다면 비용보다 수입이 크게 될 것이다. 기업의 소득은 주주들에게 배당하기도 하고 새로운 사업을 위하여 직접 보유하기도 한다. 그럼에도 기업은 현재의 생산을 유지하거나 새로운 사업을 위해서 항상 자금이 필요하다. 기업은 생산물 판매가 활발하게 일어나면 시설을 확장하기 위해서 돈이 필요하고, 반대로 판매 수입이 줄어들면 부족한 돈을 빌리게 되므로 통상적으로 자금의 수요자가 된다. 가계·기업·정부 모두 수입보다 지출이 많으면 적자가 되고 반대로 수입보다 지출이 적으면 흑자가 된다. 흑자 주체는 자신들의 돈을 효과적으로 활용하기 위하여 다양한 방법으로 돈을투자하게 되고 반대로 적자 주체는 필요한 돈을 마련하기 위해서 돈을 빌리게 된다. 이와 같이 흑자 주체에서 적자 주체로 돈이 이동하는 것을 금융이라 한다.",기업의 소득은 주주들에게 배당하기도 하고 새로운 사업을 위하여 직접 보유하기도 한다.,78.0,125.0,8
9,기업이 항상 자금이 필요한 이유는 무엇일까요?,"기업들은 생산요소를 구입하여 생산 활동을 함으로써 매출과 이익을 올리고 있다. 성공적인 경제활동을 했다면 비용보다 수입이 크게 될 것이다. 기업의 소득은 주주들에게 배당하기도 하고 새로운 사업을 위하여 직접 보유하기도 한다. 그럼에도 기업은 현재의 생산을 유지하거나 새로운 사업을 위해서 항상 자금이 필요하다. 기업은 생산물 판매가 활발하게 일어나면 시설을 확장하기 위해서 돈이 필요하고, 반대로 판매 수입이 줄어들면 부족한 돈을 빌리게 되므로 통상적으로 자금의 수요자가 된다. 가계·기업·정부 모두 수입보다 지출이 많으면 적자가 되고 반대로 수입보다 지출이 적으면 흑자가 된다. 흑자 주체는 자신들의 돈을 효과적으로 활용하기 위하여 다양한 방법으로 돈을투자하게 되고 반대로 적자 주체는 필요한 돈을 마련하기 위해서 돈을 빌리게 된다. 이와 같이 흑자 주체에서 적자 주체로 돈이 이동하는 것을 금융이라 한다.",기업은 현재의 생산을 유지하거나 새로운 사업을 위해서 항상 자금이 필요하다.,131.0,173.0,9
